,Domain,Area,Element,Item,Year,Unit,Value,Flag Description,Country Code
199,Crops and livestock products,Croatia,Export Quantity,Cattle,2013,Head,29577,Official figure,HR
200,Crops and livestock products,Croatia,Export Quantity,Cattle,2014,Head,41927,Official figure,HR
201,Crops and livestock products,Croatia,Export Quantity,Cattle,2015,Head,66312,Official figure,HR
202,Crops and livestock products,Croatia,Export Quantity,Cattle,2016,Head,121766,Official figure,HR
203,Crops and livestock products,Croatia,Export Quantity,Cattle,2017,Head,133977,Official figure,HR
204,Crops and livestock products,Croatia,Export Quantity,Cattle,2018,Head,152172,Official figure,HR
205,Crops and livestock products,Croatia,Export Quantity,Cattle,2019,Head,98759,Official figure,HR
206,Crops and livestock products,Croatia,Export Quantity,Cattle,2020,Head,124610,Official figure,HR
207,Crops and livestock products,Croatia,Export Quantity,Cattle,2021,Head,138444,Official figure,HR
208,Crops and livestock products,Croatia,Export Value,Cattle,2006,1000 US$,3002,Official figure,HR
209,Crops and livestock products,Croatia,Export Value,Cattle,2007,1000 US$,11959,Official figure,HR
210,Crops and livestock products,Croatia,Export Value,Cattle,2008,1000 US$,14151,Official figure,HR
211,Crops and livestock products,Croatia,Export Value,Cattle,2009,1000 US$,3674,Official figure,HR
212,Crops and livestock products,Croatia,Export Value,Cattle,2010,1000 US$,14550,Official figure,HR
213,Crops and livestock products,Croatia,Export Value,Cattle,2011,1000 US$,38677,Official figure,HR
214,Crops and livestock products,Croatia,Export Value,Cattle,2012,1000 US$,39685,Official figure,HR
215,Crops and livestock products,Croatia,Export Value,Cattle,2013,1000 US$,41278,Official figure,HR
216,Crops and livestock products,Croatia,Export Value,Cattle,2014,1000 US$,52244,Official figure,HR
217,Crops and livestock products,Croatia,Export Value,Cattle,2015,1000 US$,80269,Official figure,HR
218,Crops and livestock products,Croatia,Export Value,Cattle,2016,1000 US$,143703,Official figure,HR
219,Crops and livestock products,Croatia,Export Value,Cattle,2017,1000 US$,156613,Official figure,HR
220,Crops and livestock products,Croatia,Export Value,Cattle,2018,1000 US$,197318,Official figure,HR
221,Crops and livestock products,Croatia,Export Value,Cattle,2019,1000 US$,100527,Official figure,HR
222,Crops and livestock products,Croatia,Export Value,Cattle,2020,1000 US$,135127,Official figure,HR
223,Crops and livestock products,Croatia,Export Value,Cattle,2021,1000 US$,173164,Official figure,HR
224,Crops and livestock products,Croatia,Export Quantity,Sheep,2006,Head,68,Official figure,HR
225,Crops and livestock products,Croatia,Export Quantity,Sheep,2007,Head,331,Official figure,HR
226,Crops and livestock products,Croatia,Export Quantity,Sheep,2008,Head,0,Unofficial figure,HR
227,Crops and livestock products,Croatia,Export Quantity,Sheep,2009,Head,5,Official figure,HR
228,Crops and livestock products,Croatia,Export Quantity,Sheep,2010,Head,510,Official figure,HR
229,Crops and livestock products,Croatia,Export Quantity,Sheep,2011,Head,348,Official figure,HR
230,Crops and livestock products,Croatia,Export Quantity,Sheep,2012,Head,1428,Official figure,HR
231,Crops and livestock products,Croatia,Export Quantity,Sheep,2013,Head,2667,Official figure,HR
232,Crops and livestock products,Croatia,Export Quantity,Sheep,2014,Head,12515,Official figure,HR
233,Crops and livestock products,Croatia,Export Quantity,Sheep,2015,Head,24190,Official figure,HR
234,Crops and livestock products,Croatia,Export Quantity,Sheep,2016,Head,54362,Official figure,HR
235,Crops and livestock products,Croatia,Export Quantity,Sheep,2017,Head,92478,Official figure,HR
236,Crops and livestock products,Croatia,Export Quantity,Sheep,2018,Head,92468,Official figure,HR
237,Crops and livestock products,Croatia,Export Quantity,Sheep,2019,Head,51176,Official figure,HR
238,Crops and livestock products,Croatia,Export Quantity,Sheep,2020,Head,62808,Official figure,HR
239,Crops and livestock products,Croatia,Export Quantity,Sheep,2021,Head,51362,Official figure,HR
240,Crops and livestock products,Croatia,Export Value,Sheep,2006,1000 US$,6,Official figure,HR
241,Crops and livestock products,Croatia,Export Value,Sheep,2007,1000 US$,34,Official figure,HR
242,Crops and livestock products,Croatia,Export Value,Sheep,2008,1000 US$,0,Unofficial figure,HR
243,Crops and livestock products,Croatia,Export Value,Sheep,2009,1000 US$,3,Official figure,HR
244,Crops and livestock products,Croatia,Export Value,Sheep,2010,1000 US$,37,Official figure,HR
245,Crops and livestock products,Croatia,Export Value,Sheep,2011,1000 US$,49,Official figure,HR
246,Crops and livestock products,Croatia,Export Value,Sheep,2012,1000 US$,291,Official figure,HR
247,Crops and livestock products,Croatia,Export Value,Sheep,2013,1000 US$,611,Official figure,HR
248,Crops and livestock products,Croatia,Export Value,Sheep,2014,1000 US$,1781,Official figure,HR
249,Crops and livestock products,Croatia,Export Value,Sheep,2015,1000 US$,2910,Official figure,HR
250,Crops and livestock products,Croatia,Export Value,Sheep,2016,1000 US$,5668,Official figure,HR
251,Crops and livestock products,Croatia,Export Value,Sheep,2017,1000 US$,10604,Official figure,HR
252,Crops and livestock products,Croatia,Export Value,Sheep,2018,1000 US$,11269,Official figure,HR
253,Crops and livestock products,Croatia,Export Value,Sheep,2019,1000 US$,5143,Official figure,HR
254,Crops and livestock products,Croatia,Export Value,Sheep,2020,1000 US$,7399,Official figure,HR
255,Crops and livestock products,Croatia,Export Value,Sheep,2021,1000 US$,7525,Official figure,HR
372,Crops and livestock products,Denmark,Export Quantity,Cattle,2006,Head,12688,Official figure,DK
373,Crops and livestock products,Denmark,Export Quantity,Cattle,2007,Head,9169,Unofficial figure,DK
374,Crops and livestock products,Denmark,Export Quantity,Cattle,2008,Head,4869,Official figure,DK
375,Crops and livestock products,Denmark,Export Quantity,Cattle,2009,Head,10678,Official figure,DK
376,Crops and livestock products,Denmark,Export Quantity,Cattle,2010,Head,14833,Official figure,DK
377,Crops and livestock products,Denmark,Export Quantity,Cattle,2011,Head,28193,Official figure,DK
378,Crops and livestock products,Denmark,Export Quantity,Cattle,2012,Head,56176,Official figure,DK
379,Crops and livestock products,Denmark,Export Quantity,Cattle,2013,Head,60555,Official figure,DK
380,Crops and livestock products,Denmark,Export Quantity,Cattle,2014,Head,70002,Official figure,DK
381,Crops and livestock products,Denmark,Export Quantity,Cattle,2015,Head,60832,Official figure,DK
382,Crops and livestock products,Denmark,Export Quantity,Cattle,2016,Head,81292,Official figure,DK
383,Crops and livestock products,Denmark,Export Quantity,Cattle,2017,Head,89171,Official figure,DK
384,Crops and livestock products,Denmark,Export Quantity,Cattle,2018,Head,98579,Official figure,DK
385,Crops and livestock products,Denmark,Export Quantity,Cattle,2019,Head,117808,Official figure,DK
386,Crops and livestock products,Denmark,Export Quantity,Cattle,2020,Head,97550,Official figure,DK
387,Crops and livestock products,Denmark,Export Quantity,Cattle,2021,Head,77958,Official figure,DK
388,Crops and livestock products,Denmark,Export Value,Cattle,2006,1000 US$,16962,Official figure,DK
389,Crops and livestock products,Denmark,Export Value,Cattle,2007,1000 US$,21100,Official figure,DK
390,Crops and livestock products,Denmark,Export Value,Cattle,2008,1000 US$,7613,Official figure,DK
391,Crops and livestock products,Denmark,Export Value,Cattle,2009,1000 US$,5621,Official figure,DK
392,Crops and livestock products,Denmark,Export Value,Cattle,2010,1000 US$,6636,Official figure,DK
393,Crops and livestock products,Denmark,Export Value,Cattle,2011,1000 US$,24733,Official figure,DK
394,Crops and livestock products,Denmark,Export Value,Cattle,2012,1000 US$,55542,Official figure,DK
395,Crops and livestock products,Denmark,Export Value,Cattle,2013,1000 US$,49320,Official figure,DK
396,Crops and livestock products,Denmark,Export Value,Cattle,2014,1000 US$,66744,Official figure,DK
397,Crops and livestock products,Denmark,Export Value,Cattle,2015,1000 US$,51523,Official figure,DK
398,Crops and livestock products,Denmark,Export Value,Cattle,2016,1000 US$,47351,Official figure,DK
399,Crops and livestock products,Denmark,Export Value,Cattle,2017,1000 US$,76079,Official figure,DK
400,Crops and livestock products,Denmark,Export Value,Cattle,2018,1000 US$,80492,Official figure,DK
401,Crops and livestock products,Denmark,Export Value,Cattle,2019,1000 US$,109072,Official figure,DK
402,Crops and livestock products,Denmark,Export Value,Cattle,2020,1000 US$,87542,Official figure,DK
403,Crops and livestock products,Denmark,Export Value,Cattle,2021,1000 US$,84451,Official figure,DK
404,Crops and livestock products,Denmark,Export Quantity,Sheep,2006,Head,2071,Official figure,DK
405,Crops and livestock products,Denmark,Export Quantity,Sheep,2007,Head,1587,Official figure,DK
406,Crops and livestock products,Denmark,Export Quantity,Sheep,2008,Head,38,Official figure,DK
407,Crops and livestock products,Denmark,Export Quantity,Sheep,2009,Head,197,Official figure,DK
408,Crops and livestock products,Denmark,Export Quantity,Sheep,2010,Head,0,Unofficial figure,DK
409,Crops and livestock products,Denmark,Export Quantity,Sheep,2011,Head,0,Estimated value,DK
410,Crops and livestock products,Denmark,Export Quantity,Sheep,2012,Head,45,Official figure,DK
411,Crops and livestock products,Denmark,Export Quantity,Sheep,2013,Head,1,Unofficial figure,DK
412,Crops and livestock products,Denmark,Export Quantity,Sheep,2014,Head,46,Official figure,DK
413,Crops and livestock products,Denmark,Export Quantity,Sheep,2015,Head,5500,Official figure,DK
414,Crops and livestock products,Denmark,Export Quantity,Sheep,2017,Head,568,Official figure,DK
415,Crops and livestock products,Denmark,Export Quantity,Sheep,2018,Head,1057,Official figure,DK
416,Crops and livestock products,Denmark,Export Quantity,Sheep,2019,Head,756,Official figure,DK
417,Crops and livestock products,Denmark,Export Value,Sheep,2006,1000 US$,219,Official figure,DK
418,Crops and livestock products,Denmark,Export Value,Sheep,2007,1000 US$,209,Official figure,DK
419,Crops and livestock products,Denmark,Export Value,Sheep,2008,1000 US$,42,Official figure,DK
420,Crops and livestock products,Denmark,Export Value,Sheep,2009,1000 US$,67,Official figure,DK
421,Crops and livestock products,Denmark,Export Value,Sheep,2010,1000 US$,0,Unofficial figure,DK
422,Crops and livestock products,Denmark,Export Value,Sheep,2011,1000 US$,0,Estimated value,DK
423,Crops and livestock products,Denmark,Export Value,Sheep,2012,1000 US$,27,Official figure,DK
424,Crops and livestock products,Denmark,Export Value,Sheep,2013,1000 US$,0,Official figure,DK
425,Crops and livestock products,Denmark,Export Value,Sheep,2014,1000 US$,27,Official figure,DK
426,Crops and livestock products,Denmark,Export Value,Sheep,2015,1000 US$,219,Official figure,DK
427,Crops and livestock products,Denmark,Export Value,Sheep,2017,1000 US$,141,Official figure,DK
428,Crops and livestock products,Denmark,Export Value,Sheep,2018,1000 US$,99,Official figure,DK
429,Crops and livestock products,Denmark,Export Value,Sheep,2019,1000 US$,79,Official figure,DK
494,Crops and livestock products,Finland,Export Quantity,Cattle,2006,Head,300,Official figure,FI
495,Crops and livestock products,Finland,Export Quantity,Cattle,2007,Head,806,Official figure,FI
496,Crops and livestock products,Finland,Export Quantity,Cattle,2008,Head,509,Official figure,FI
497,Crops and livestock products,Finland,Export Quantity,Cattle,2009,Head,832,Unofficial figure,FI
498,Crops and livestock products,Finland,Export Quantity,Cattle,2010,Head,670,Official figure,FI
499,Crops and livestock products,Finland,Export Quantity,Cattle,2011,Head,1144,Official figure,FI
500,Crops and livestock products,Finland,Export Quantity,Cattle,2012,Head,1240,Official figure,FI
501,Crops and livestock products,Finland,Export Quantity,Cattle,2013,Head,4,Official figure,FI
502,Crops and livestock products,Finland,Export Quantity,Cattle,2014,Head,405,Official figure,FI
503,Crops and livestock products,Finland,Export Quantity,Cattle,2015,Head,950,Official figure,FI
504,Crops and livestock products,Finland,Export Quantity,Cattle,2016,Head,510,Official figure,FI
505,Crops and livestock products,Finland,Export Quantity,Cattle,2017,Head,441,Official figure,FI
506,Crops and livestock products,Finland,Export Quantity,Cattle,2018,Head,112,Official figure,FI
507,Crops and livestock products,Finland,Export Quantity,Cattle,2019,Head,66,Official figure,FI
508,Crops and livestock products,Finland,Export Quantity,Cattle,2020,Head,100,Official figure,FI
509,Crops and livestock products,Finland,Export Value,Cattle,2006,1000 US$,469,Official figure,FI
510,Crops and livestock products,Finland,Export Value,Cattle,2007,1000 US$,1843,Official figure,FI
511,Crops and livestock products,Finland,Export Value,Cattle,2008,1000 US$,1316,Official figure,FI
512,Crops and livestock products,Finland,Export Value,Cattle,2009,1000 US$,2536,Official figure,FI
513,Crops and livestock products,Finland,Export Value,Cattle,2010,1000 US$,2331,Official figure,FI
514,Crops and livestock products,Finland,Export Value,Cattle,2011,1000 US$,3976,Official figure,FI
515,Crops and livestock products,Finland,Export Value,Cattle,2012,1000 US$,4207,Official figure,FI
516,Crops and livestock products,Finland,Export Value,Cattle,2013,1000 US$,26,Official figure,FI
517,Crops and livestock products,Finland,Export Value,Cattle,2014,1000 US$,1380,Official figure,FI
518,Crops and livestock products,Finland,Export Value,Cattle,2015,1000 US$,2634,Official figure,FI
519,Crops and livestock products,Finland,Export Value,Cattle,2016,1000 US$,1249,Official figure,FI
520,Crops and livestock products,Finland,Export Value,Cattle,2017,1000 US$,1044,Official figure,FI
521,Crops and livestock products,Finland,Export Value,Cattle,2018,1000 US$,322,Official figure,FI
522,Crops and livestock products,Finland,Export Value,Cattle,2019,1000 US$,191,Official figure,FI
523,Crops and livestock products,Finland,Export Value,Cattle,2020,1000 US$,245,Official figure,FI
524,Crops and livestock products,Finland,Export Quantity,Sheep,2006,Head,0,Estimated value,FI
525,Crops and livestock products,Finland,Export Quantity,Sheep,2007,Head,0,Estimated value,FI
526,Crops and livestock products,Finland,Export Quantity,Sheep,2008,Head,0,Estimated value,FI
527,Crops and livestock products,Finland,Export Quantity,Sheep,2009,Head,0,Estimated value,FI
528,Crops and livestock products,Finland,Export Quantity,Sheep,2010,Head,0,Estimated value,FI
529,Crops and livestock products,Finland,Export Quantity,Sheep,2011,Head,0,Estimated value,FI
530,Crops and livestock products,Finland,Export Quantity,Sheep,2012,Head,0,Estimated value,FI
531,Crops and livestock products,Finland,Export Quantity,Sheep,2013,Head,0,Estimated value,FI
532,Crops and livestock products,Finland,Export Quantity,Sheep,2020,Head,177,Official figure,FI
533,Crops and livestock products,Finland,Export Value,Sheep,2006,1000 US$,0,Estimated value,FI
534,Crops and livestock products,Finland,Export Value,Sheep,2007,1000 US$,0,Estimated value,FI
535,Crops and livestock products,Finland,Export Value,Sheep,2008,1000 US$,0,Estimated value,FI
536,Crops and livestock products,Finland,Export Value,Sheep,2009,1000 US$,0,Estimated value,FI
537,Crops and livestock products,Finland,Export Value,Sheep,2010,1000 US$,0,Estimated value,FI
538,Crops and livestock products,Finland,Export Value,Sheep,2011,1000 US$,0,Estimated value,FI
539,Crops and livestock products,Finland,Export Value,Sheep,2012,1000 US$,0,Estimated value,FI
540,Crops and livestock products,Finland,Export Value,Sheep,2013,1000 US$,0,Estimated value,FI
541,Crops and livestock products,Finland,Export Value,Sheep,2020,1000 US$,92,Official figure,FI
798,Crops and livestock products,Ireland,Export Quantity,Cattle,2006,Head,107291,Official figure,IE
799,Crops and livestock products,Ireland,Export Quantity,Cattle,2007,Head,154417,Unofficial figure,IE
800,Crops and livestock products,Ireland,Export Quantity,Cattle,2008,Head,129876,Official figure,IE
801,Crops and livestock products,Ireland,Export Quantity,Cattle,2009,Head,188723,Official figure,IE
802,Crops and livestock products,Ireland,Export Quantity,Cattle,2010,Head,271663,Unofficial figure,IE
803,Crops and livestock products,Ireland,Export Quantity,Cattle,2011,Head,184630,Unofficial figure,IE
804,Crops and livestock products,Ireland,Export Quantity,Cattle,2012,Head,130578,Official figure,IE
805,Crops and livestock products,Ireland,Export Quantity,Cattle,2013,Head,192352,Official figure,IE
806,Crops and livestock products,Ireland,Export Quantity,Cattle,2014,Head,205866,Official figure,IE
807,Crops and livestock products,Ireland,Export Quantity,Cattle,2015,Head,148454,Official figure,IE
808,Crops and livestock products,Ireland,Export Quantity,Cattle,2016,Head,123727,Official figure,IE
809,Crops and livestock products,Ireland,Export Quantity,Cattle,2017,Head,150293,Official figure,IE
810,Crops and livestock products,Ireland,Export Quantity,Cattle,2018,Head,188065,Official figure,IE
811,Crops and livestock products,Ireland,Export Quantity,Cattle,2019,Head,235879,Official figure,IE
812,Crops and livestock products,Ireland,Export Quantity,Cattle,2020,Head,291373,Official figure,IE
813,Crops and livestock products,Ireland,Export Quantity,Cattle,2021,Head,213348,Official figure,IE
814,Crops and livestock products,Ireland,Export Value,Cattle,2006,1000 US$,100128,Official figure,IE
815,Crops and livestock products,Ireland,Export Value,Cattle,2007,1000 US$,126829,Official figure,IE
816,Crops and livestock products,Ireland,Export Value,Cattle,2008,1000 US$,124043,Official figure,IE
817,Crops and livestock products,Ireland,Export Value,Cattle,2009,1000 US$,166581,Official figure,IE
818,Crops and livestock products,Ireland,Export Value,Cattle,2010,1000 US$,192881,Official figure,IE
819,Crops and livestock products,Ireland,Export Value,Cattle,2011,1000 US$,180423,Official figure,IE
820,Crops and livestock products,Ireland,Export Value,Cattle,2012,1000 US$,161982,Official figure,IE
821,Crops and livestock products,Ireland,Export Value,Cattle,2013,1000 US$,156314,Official figure,IE
822,Crops and livestock products,Ireland,Export Value,Cattle,2014,1000 US$,167563,Official figure,IE
823,Crops and livestock products,Ireland,Export Value,Cattle,2015,1000 US$,99553,Official figure,IE
824,Crops and livestock products,Ireland,Export Value,Cattle,2016,1000 US$,75105,Official figure,IE
825,Crops and livestock products,Ireland,Export Value,Cattle,2017,1000 US$,96265,Official figure,IE
826,Crops and livestock products,Ireland,Export Value,Cattle,2018,1000 US$,114435,Official figure,IE
827,Crops and livestock products,Ireland,Export Value,Cattle,2019,1000 US$,124506,Official figure,IE
828,Crops and livestock products,Ireland,Export Value,Cattle,2020,1000 US$,124611,Official figure,IE
829,Crops and livestock products,Ireland,Export Value,Cattle,2021,1000 US$,141461,Official figure,IE
830,Crops and livestock products,Ireland,Export Quantity,Sheep,2006,Head,144638,Official figure,IE
831,Crops and livestock products,Ireland,Export Quantity,Sheep,2007,Head,68003,Official figure,IE
832,Crops and livestock products,Ireland,Export Quantity,Sheep,2008,Head,67408,Official figure,IE
833,Crops and livestock products,Ireland,Export Quantity,Sheep,2009,Head,91755,Official figure,IE
834,Crops and livestock products,Ireland,Export Quantity,Sheep,2010,Head,37090,Official figure,IE
835,Crops and livestock products,Ireland,Export Quantity,Sheep,2011,Head,18711,Official figure,IE
836,Crops and livestock products,Ireland,Export Quantity,Sheep,2012,Head,30528,Official figure,IE
837,Crops and livestock products,Ireland,Export Quantity,Sheep,2013,Head,54197,Official figure,IE
838,Crops and livestock products,Ireland,Export Quantity,Sheep,2014,Head,37646,Official figure,IE
839,Crops and livestock products,Ireland,Export Quantity,Sheep,2015,Head,15036,Official figure,IE
840,Crops and livestock products,Ireland,Export Quantity,Sheep,2016,Head,15657,Official figure,IE
841,Crops and livestock products,Ireland,Export Quantity,Sheep,2017,Head,20834,Official figure,IE
842,Crops and livestock products,Ireland,Export Quantity,Sheep,2018,Head,15958,Official figure,IE
843,Crops and livestock products,Ireland,Export Quantity,Sheep,2019,Head,5331,Official figure,IE
844,Crops and livestock products,Ireland,Export Quantity,Sheep,2020,Head,18605,Official figure,IE
845,Crops and livestock products,Ireland,Export Quantity,Sheep,2021,Head,9641,Official figure,IE
846,Crops and livestock products,Ireland,Export Value,Sheep,2006,1000 US$,15195,Official figure,IE
847,Crops and livestock products,Ireland,Export Value,Sheep,2007,1000 US$,7385,Official figure,IE
848,Crops and livestock products,Ireland,Export Value,Sheep,2008,1000 US$,7840,Official figure,IE
849,Crops and livestock products,Ireland,Export Value,Sheep,2009,1000 US$,11146,Official figure,IE
850,Crops and livestock products,Ireland,Export Value,Sheep,2010,1000 US$,5192,Official figure,IE
851,Crops and livestock products,Ireland,Export Value,Sheep,2011,1000 US$,3153,Official figure,IE
852,Crops and livestock products,Ireland,Export Value,Sheep,2012,1000 US$,4951,Official figure,IE
853,Crops and livestock products,Ireland,Export Value,Sheep,2013,1000 US$,9871,Official figure,IE
854,Crops and livestock products,Ireland,Export Value,Sheep,2014,1000 US$,5955,Official figure,IE
855,Crops and livestock products,Ireland,Export Value,Sheep,2015,1000 US$,2087,Official figure,IE
856,Crops and livestock products,Ireland,Export Value,Sheep,2016,1000 US$,2222,Official figure,IE
857,Crops and livestock products,Ireland,Export Value,Sheep,2017,1000 US$,3042,Official figure,IE
858,Crops and livestock products,Ireland,Export Value,Sheep,2018,1000 US$,2213,Official figure,IE
859,Crops and livestock products,Ireland,Export Value,Sheep,2019,1000 US$,1295,Official figure,IE
860,Crops and livestock products,Ireland,Export Value,Sheep,2020,1000 US$,3091,Official figure,IE
861,Crops and livestock products,Ireland,Export Value,Sheep,2021,1000 US$,1822,Official figure,IE
